安息香科	anxixiangke	axxk
普陀樟	putuozhang	ptz
七指蕨	qizhijue	qzj
七指蕨科	qizhijueke	qzjk
七子花	qizihua	qzh
槭树科	qishuke	qsk
千果榄仁	qianguolanren	qglr
茜草科	qiancaoke	qck
巧家五针松	qiaojiawuzhensong	qjwzs
茄科	qieke	qk
秦岭冷杉	qinlinglengshan	qlls
秦岭石蝴蝶	qinlingshihudie	qlshd
青皮（青梅）	qingpi（qingmei）	qp（qm）
忍冬科	rendongke	rdk
任豆（任木）	rendou（renmu）	rd（rm）
绒毛皂荚	rongmaozaojia	rmzj
柔毛油杉	roumaoyoushan	rmys
肉豆蔻科	roudoukouke	rdkk
瑞香科	ruixiangke	rxk
润楠	runnan	rn
三尖杉科	sanjianshanke	sjsk
三棱栎	sanlengli	sll
三蕊草	sanruicao	src
伞花木	sanhuamu	shm
伞形科	sanxingke	sxk
沙芦草	shalucao	slc
山豆根（胡豆莲）	shandougen（hudoulian）	sdg（hdl）
山榄科	shanlanke	slk
山莨菪	shanlangdang	sld
山铜材	shantongcai	stc
杉科	shanke	sk
珊瑚菜（北沙参）	shanhucai（beishashen）	shc（bss）
扇蕨	shanjue	sj
蛇根木	shegenmu	sgm
十齿花	shichihua	sch
石碌含笑	shiluhanxiao	slhx
石竹科	shizhuke	szk
使君子科	shijunzike	sjzk
水鳖科	shuibieke	sbk
水菜花	shuicaihua	sch
水韭科	shuijiuke	sjk
水韭属（所有种）	shuijiushu（suoyouzhong）	sjs（syz）
水蕨科	shuijueke	sjk
水蕨属（所有种）	shuijueshu（suoyouzhong）	sjs（syz）
水龙骨科	shuilongguke	slgk
水青树	shuiqingshu	sqs
水曲柳	shuiquliu	sql
水杉	shuishan	ss
水松	shuisong	ss
睡莲科	shuilianke	slk
四川红杉	sichuanhongshan	schs
四川狼尾草	sichuanlangweicao	sclwc
四数木	sishumu	ssm
四数木科	sishumuke	ssmk
四药门花	siyaomenhua	symh
松科	songke	sk
松口蘑（松茸）	songkoumo（songrong）	skm（sr）
苏铁蕨	sutiejue	stj
苏铁科	sutieke	stk
苏铁属（所有种）	sutieshu（suoyouzhong）	sts（syz）
酸竹	suanzhu	sz
蒜头果	suantouguo	stg
桫椤科（所有种）	suoluoke（suoyouzhong）	slk（syz）
台湾杉（秃杉）	taiwanshan（tushan）	tws（ts）
台湾水青冈	taiwanshuiqinggang	twsqg
台湾穗花杉	taiwansuihuashan	twshs
台湾油杉	taiwanyoushan	twys
太白红杉	taibaihongshan	tbhs
藤枣	tengzao	tz
蹄盖蕨科	tigaijueke	tgjk
天目铁木	tianmutiemu	tmtm
天台鹅耳枥	tiantaieerli	tteel
天星蕨	tianxingjue	txj
天星蕨科	tianxingjueke	txjk
铁角蕨科	tiejiaojueke	tjjk
铁青树科	tieqingshuke	tqsk
土沉香	tuchenxiang	tcx
驼峰藤	tuofengteng	tft
望天树	wangtianshu	wts
卫矛科	weimaoke	wmk
乌毛蕨科	wumaojueke	wmjk
乌苏里狐尾藻	wusulihuweizao	wslhwz
无患子科	wuhuanzike	whzk
无芒披堿草	wumangpijiancao	wmpjc
无翼坡垒（铁凌）	wuyipolei（tieling）	wypl（tl）
梧桐科	wutongke	wtk
西康玉兰	xikangyulan	xkyl
膝柄木	xibingmu	xbm
喜树（旱莲木）	xishu（hanlianmu）	xs（hlm）
狭叶坡垒	xiayepolei	xypl
蚬木	xianmu	xm
线苞两型豆	xianbaoliangxingdou	xblxd
香果树	xiangguoshu	xgs
香木莲	xiangmulian	xml
小二仙草科	xiaoerxiancaoke	xexck
小钩叶藤	xiaogouyeteng	xgyt
斜翼	xieyi	xy
斜翼科	xieyike	xyk
馨香玉兰	xinxiangyulan	xxyl
兴凯赤松	xingkaichisong	xkcs
绣球茜	xiuqiuqian	xqq
玄参科	xuanshenke	xsk
雪白睡莲	xuebaishuilian	xbsl
烟豆	yandou	yd
盐桦	yanhua	yh
羊角槭	yangjiaoqi	yjq
杨柳科	yangliuke	ylk
瑶山苣苔	yaoshanjutai	ysjt
药用野生稻	yaoyongyeshengdao	yyysd
野大豆	yedadou	ydd
野菱	yeling	yl
异形玉叶金花	yixingyuyejinhua	yxyyjh
异颖草	yiyingcao	yyc
银缕梅	yinlvmei	ylm
银杉	yinshan	ys
银杏	yinxing	yx
银杏科	yinxingke	yxk
印度鹿角蕨	yindulujiaojue	ydljj
罂粟科	yingsuke	ysk
永瓣藤	yongbanteng	ybt
油丹	youdan	yd
油麦吊云杉	youmaidiaoyunshan	ymdys
油楠（蚌壳树）	younan（bangkeshu）	yn（bks）
油樟	youzhang	yz
榆科	yuke	yk
羽叶点地梅	yuyediandimei	yyddm
玉龙蕨	yulongjue	ylj
元宝山冷杉	yuanbaoshanlengshan	ybsls
圆叶玉兰	yuanyeyulan	yyyl
缘毛红豆	yuanmaohongdou	ymhd
云南金钱槭	yunnanjinqianqi	ynjqq
云南蓝果树	yunnanlanguoshu	ynlgs
云南拟单性木兰	yunnannidanxingmulan	ynndxml
云南肉豆蔻	yunnanroudoukou	ynrdk
云南穗花杉	yunnansuihuashan	ynshs
芸香科	yunxiangke	yxk
泽泻科	zexieke	zxk
樟科	zhangke	zk
樟树（香樟）	zhangshu（xiangzhang）	zs（xz）
长白松	changbaisong	cbs
长柄双花木	changbingshuanghuamu	cbshm
长果安息香	changguoanxixiang	cgaxx
长果姜	changguojiang	cgj
长喙厚朴	changhuihoupo	chhp
长喙毛茛泽泻	changhuimaogenzexie	chmgzx
长蕊木兰	changruimulan	crml
长序榆	changxuyu	cxy
掌叶木	zhangyemu	zym
浙江楠	zhejiangnan	zjn
真菌	zhenjun	zj
中国蕨	zhongguojue	zgj
中国蕨科	zhongguojueke	zgjk
中华结缕草	zhonghuajielvcao	zhjlc
舟山新木姜子	zhoushanxinmujiangzi	zsxmjz
蛛网萼	zhuwange	zwe
资源冷杉（大院冷杉）	ziyuanlengshan（dayuanlengshan）	zyls（dyls）
子宫草	zigongcao	zgc
梓叶槭	ziyeqi	zyq
紫椴	ziduan	zd
紫荆木	zijingmu	zjm
紫檀（青龙木）	zitan（qinglongmu）	zt（qlm）
棕榈科	zonglvke	zlk
钻天柳	zuantianliu	ztl
